10 3879
1291 resist 1
1292 patient 2
1293 enough 14
1294 supported 6
1295 needed 6
1296 israelis 1
1297 phones 1
1298 brilliant 8
1299 income 2
1300 mantra 1
1301 fingers 2
1302 unlike 4
1303 let's 8
1304 difficult 4
1305 japanese 2
1306 london 2
1307 okay 1
1308 rules 1
1309 constructive 1
1310 spineless 3
1311 credit 6
1312 member 1
1313 native 4
1314 businesses 4
1315 deception 2
1316 student 5
1317 assistance 1
1318 intent 1
1319 lives 8
1320 college 16
1321 must 7
1322 involved 4
1323 stephens 1
1324 man 17
1325 outside 7
1326 devos 1
1327 activities 1
1328 weakness 2
1329 civil 4
1330 separate 2
1331 inconvenient 1
1332 life 12
1333 patriots 5
1334 understand 30
1335 bankrupt 2
1336 website 1
1337 responsible 5
1338 nominate 2
1339 palestinians 2
1340 favorite 2
1341 understanding 8
1342 trading 3
1343 recent 4
1344 childhood 2
1345 establish 3
1346 ahead 3
1347 baby 1
1348 obamacare 5
1349 pretty 8
1350 museum 2
1351 indictment 2
1352 saturday 2
1353 informed 4
1354 rational 2
1355 refusing 1
1356 enemies 1
1357 transparent 3
1358 counter 2
1359 walk 2
1360 bill 12
1361 particularly 5
1362 kleptocracy 2
1363 trying 9
1364 economics 4
1365 western 3
1366 truth 9
1367 sitting 4
1368 outraged 2
1369 seem 5
1370 stormy 2
1371 writers 1
1372 anonymous 1
1373 notion 1
1374 see 18
1375 ownership 3
1376 primarily 3
1377 elected 19
1378 otherwise 4
1379 race 3
1380 late 3
1381 consistently 2
1382 surveillance 3
1383 korea 7
1384 management 2
1385 larger 2
1386 crooked 2
1387 human 7
1388 playbook 2
1389 go 4
1390 number 8
1391 kept 1
1392 reagan 4
1393 members 10
1394 reflects 1
1395 youth 2
1396 belief 3
1397 reduce 4
1398 employed 3
1399 strategy 3
1400 description 3
1401 properly 1
1402 my 6
1403 capitalism 4
1404 reputation 1
1405 repeal 3
1406 legislative 1
1407 excellent 8
1408 ignorance 5
1409 push 3
1410 behind 7
1411 pursuit 1
1412 followers 3
1413 scientists 4
1414 contained 2
1415 driving 6
1416 mind 8
1417 save 3
1418 oprah 2
1419 honestly 6
1420 civilians 2
1421 view 7
1422 weeks 3
1423 scary 2
1424 false 3
1425 international 11
1426 diminished 1
1427 numerous 4
1428 amen 1
1429 account 4
1430 protections 4
1431 undermine 1
1432 learning 2
1433 our 21
1434 criticize 2
1435 compromise 1
1436 come 6
1437 overlooked 2
1438 they're 4
1439 certainty 1
1440 sometimes 5
1441 vision 1
1442 treatments 1
1443 wow 4
1444 month 3
1445 happen 6
1446 including 18
1447 damage 3
1448 speculation 3
1449 substitute 2
1450 chicken 4
1451 labor 2
1452 cohen 2
1453 books 4
1454 created 5
1455 watching 9
1456 prison 2
1457 mistake 2
1458 populism 4
1459 sociopath 3
1460 inquiry 1
1461 developed 2
1462 straight 7
1463 islamic 1
1464 hold 2
1465 established 3
1466 promote 3
1467 no 17
1468 effectiveness 1
1469 interview 5
1470 heard 4
1471 key 1
1472 numbers 5
1473 wealth 5
1474 importantly 1
1475 decades 8
1476 people's 4
1477 begin 1
1478 bridges 3
1479 missing 3
1480 principle 1
1481 steve 2
1482 leaks 1
1483 expressed 2
1484 sponsored 3
1485 after 28
1486 washington 15
1487 early 8
1488 neighborhood 5
1489 taxpayers 1
1490 agenda 3
1491 tweets 1
1492 center 2
1493 internationally 2
1494 cant 2
1495 totally 8
1496 reads 1
1497 case 4
1498 need 16
1499 defend 7
1500 situation 6
1501 relatives 1
1502 capitalist 2
1503 payer 2
1504 survive 4
1505 enjoy 6
1506 slavery 1
1507 job 4
1508 fire 6
1509 comprehend 1
1510 observations 3
1511 misogynistic 4
1512 daughters 3
1513 i've 4
1514 violations 2
1515 decided 6
1516 court 7
1517 war 11
1518 relief 1
1519 won 4
1520 theories 1
1521 followed 4
1522 romney 1
1523 bills 3
1524 role 2
1525 movement 7
1526 such 5
1527 married 4
1528 bombing 1
1529 loans 1
1530 operating 2
1531 tax 13
1532 costs 2
1533 mexico 4
1534 story 11
1535 surprised 3
1536 classic 3
1537 added 2
1538 meant 1
1539 loved 3
1540 revolutionary 2
1541 you've 3
1542 russians 13
1543 unconscionable 2
1544 light 4
1545 overseas 3
1546 program 6
1547 big 7
1548 argue 1
1549 trust 5
1550 midterms 1
1551 commenters 6
1552 request 2
1553 source 5
1554 issues 8
1555 draining 1
1556 unemployed 1
1557 promoted 3
1558 restaurants 3
1559 appears 6
1560 limits 1
1561 bottom 6
1562 cover 3
1563 approach 4
1564 can't 16
1565 agreements 3
1566 representation 3
1567 living 10
1568 legitimate 4
1569 teenager 1
1570 rural 3
1571 collection 2
1572 devices 2
1573 addiction 3
1574 efforts 5
1575 difficulty 1
1576 expressing 3
1577 huge 2
